	ERCC2	CHEK2	SMC1A	DNMT3A	LZTR1	TP53	RET	ABL2	AFF3	DNM2	MYO5A	NOTCH1	SRSF2	PPFIBP1	ASXL1	ATM	BAX	MYD88	PTPRD	ATE1	ARID2	KDM5C	TP63	CUX1	KMT2C	PPM1D	PABPC1	JAK2	TET2	STAT3	APC	SF3B1	FOXP1
MYO5A	0.04	0.0	0.03571428571428571	0.04716981132075472	0.03571428571428571	0.07407407407407407	0.037037037037037035	0.0	0.0	0.037037037037037035		0.025	0.0	0.0	0.0	0.016666666666666666	0.043478260869565216	0.043478260869565216	0.02564102564102564	0.0	0.03225806451612903	0.029411764705882353	0.0	0.0	0.0	0.02564102564102564	0.0	0.05128205128205128	0.013888888888888888	0.0	0.021739130434782608	0.0	0.0
NOTCH1	0.06896551724137931	0.0	0.030303030303030304	0.008695652173913044	0.0	0.0	0.03125	0.0	0.029411764705882353	0.0	0.025		0.0	0.03125	0.0	0.047619047619047616	0.0	0.0	0.022727272727272728	0.03225806451612903	0.05714285714285714	0.08108108108108109	0.0	0.0	0.046153846153846156	0.0	0.0	0.022222222222222223	0.0	0.0	0.04	0.043478260869565216	0.05555555555555555
SRSF2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.05405405405405406	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05172413793103448	0.0	0.0	0.03333333333333333	0.0
PPFIBP1	0.0	0.0	0.0	0.00980392156862745	0.0	0.0	0.0	0.05555555555555555	0.0	0.1111111111111111	0.0	0.03125	0.0		0.023809523809523808	0.0	0.0	0.0	0.06666666666666667	0.05555555555555555	0.043478260869565216	0.08	0.0	0.0	0.057692307692307696	0.0	0.0	0.0	0.015625	0.0	0.0	0.0	0.0
ASXL1	0.0	0.0	0.0	0.03278688524590164	0.047619047619047616	0.0	0.0	0.024390243902439025	0.022727272727272728	0.0	0.0	0.0	0.05405405405405406	0.023809523809523808		0.0410958904109589	0.0	0.0	0.018518518518518517	0.024390243902439025	0.021739130434782608	0.041666666666666664	0.023809523809523808	0.02040816326530612	0.02631578947368421	0.03773584905660377	0.0	0.01818181818181818	0.1	0.0	0.03333333333333333	0.03571428571428571	0.043478260869565216
ATM	0.0	0.0	0.0	0.07086614173228346	0.038461538461538464	0.018867924528301886	0.0	0.0	0.03773584905660377	0.019230769230769232	0.016666666666666666	0.047619047619047616	0.020833333333333332	0.0	0.0410958904109589		0.0	0.0	0.031746031746031744	0.0196078431372549	0.017857142857142856	0.01694915254237288	0.0392156862745098	0.034482758620689655	0.07317073170731707	0.015625	0.020833333333333332	0.015384615384615385	0.031578947368421054	0.05555555555555555	0.058823529411764705	0.0	0.017543859649122806
BAX	0.0	0.0	0.0	0.01020408163265306	0.0	0.0	0.0	0.07142857142857142	0.0	0.06666666666666667	0.043478260869565216	0.0	0.0	0.0	0.0	0.0		0.0	0.037037037037037035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0
MYD88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0		0.037037037037037035	0.0	0.0	0.045454545454545456	0.0	0.0	0.02	0.0	0.09090909090909091	0.0	0.0	0.05263157894736842	0.0	0.0	0.05
PTPRD	0.0	0.0	0.03125	0.017699115044247787	0.06451612903225806	0.0	0.03225806451612903	0.0	0.030303030303030304	0.03225806451612903	0.02564102564102564	0.022727272727272728	0.0	0.06666666666666667	0.018518518518518517	0.031746031746031744	0.037037037037037035	0.037037037037037035		0.03333333333333333	0.0	0.02631578947368421	0.0	0.0	0.03076923076923077	0.0	0.0	0.022727272727272728	0.013157894736842105	0.02857142857142857	0.0	0.0	0.0
ATE1	0.0625	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.05	0.0	0.0	0.03225806451612903	0.0	0.05555555555555555	0.024390243902439025	0.0196078431372549	0.0	0.0	0.03333333333333333		0.0	0.0	0.0	0.0	0.018867924528301886	0.03333333333333333	0.0	0.0	0.015873015873015872	0.0	0.0	0.0	0.043478260869565216
ARID2	0.0	0.05	0.0	0.028846153846153848	0.0	0.0	0.043478260869565216	0.0	0.0	0.043478260869565216	0.03225806451612903	0.05714285714285714	0.0	0.043478260869565216	0.021739130434782608	0.017857142857142856	0.0	0.0	0.0	0.0		0.0	0.0	0.03333333333333333	0.017241379310344827	0.02857142857142857	0.0	0.0	0.014705882352941176	0.0	0.0	0.0	0.03571428571428571
KDM5C	0.041666666666666664	0.0	0.0	0.009174311926605505	0.0	0.037037037037037035	0.0	0.0	0.0	0.0	0.029411764705882353	0.08108108108108109	0.0	0.08	0.041666666666666664	0.01694915254237288	0.0	0.045454545454545456	0.02631578947368421	0.0	0.0		0.0	0.030303030303030304	0.05084745762711865	0.0	0.0	0.0	0.02857142857142857	0.03333333333333333	0.0	0.0	0.0
TP63	0.0	0.0	0.0	0.03	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023809523809523808	0.0392156862745098	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.018518518518518517	0.0	0.0	0.0	0.0	0.0	0.05405405405405406	0.029411764705882353	0.0
CUX1	0.041666666666666664	0.0	0.037037037037037035	0.028037383177570093	0.037037037037037035	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.02040816326530612	0.034482758620689655	0.0	0.0	0.0	0.0	0.03333333333333333	0.030303030303030304	0.0		0.05084745762711865	0.02631578947368421	0.0	0.02564102564102564	0.0	0.0	0.022222222222222223	0.05	0.0
KMT2C	0.0	0.0196078431372549	0.037037037037037035	0.045454545454545456	0.01818181818181818	0.01818181818181818	0.03773584905660377	0.058823529411764705	0.017857142857142856	0.057692307692307696	0.0	0.046153846153846156	0.0	0.057692307692307696	0.02631578947368421	0.07317073170731707	0.0	0.02	0.03076923076923077	0.018867924528301886	0.017241379310344827	0.05084745762711865	0.018518518518518517	0.05084745762711865		0.046875	0.0	0.030303030303030304	0.041666666666666664	0.05357142857142857	0.0136986301369863	0.014492753623188406	0.034482758620689655
PPM1D	0.0	0.07407407407407407	0.0	0.06481481481481481	0.03125	0.03125	0.0	0.03333333333333333	0.030303030303030304	0.0	0.02564102564102564	0.0	0.0	0.0	0.03773584905660377	0.015625	0.0	0.0	0.0	0.03333333333333333	0.02857142857142857	0.0	0.0	0.02631578947368421	0.046875		0.0	0.0	0.013157894736842105	0.058823529411764705	0.0	0.0	0.0
PABPC1	0.0	0.0	0.0	0.01020408163265306	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.09090909090909091	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.05263157894736842	0.0	0.03333333333333333	0.0
JAK2	0.0	0.0	0.0	0.06422018348623854	0.0	0.0	0.0	0.0	0.0	0.0	0.05128205128205128	0.022222222222222223	0.0	0.0	0.01818181818181818	0.015384615384615385	0.0	0.0	0.022727272727272728	0.0	0.0	0.0	0.0	0.02564102564102564	0.030303030303030304	0.0	0.0		0.04	0.0	0.061224489795918366	0.02127659574468085	0.02702702702702703
TET2	0.0	0.0	0.015384615384615385	0.13846153846153847	0.015384615384615385	0.03125	0.015625	0.0	0.0	0.0	0.013888888888888888	0.0	0.05172413793103448	0.015625	0.1	0.031578947368421054	0.0	0.0	0.013157894736842105	0.015873015873015872	0.014705882352941176	0.02857142857142857	0.0	0.0	0.041666666666666664	0.013157894736842105	0.0	0.04		0.0	0.012048192771084338	0.08108108108108109	0.014492753623188406
STAT3	0.047619047619047616	0.0	0.041666666666666664	0.01904761904761905	0.041666666666666664	0.041666666666666664	0.0	0.045454545454545456	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.05263157894736842	0.02857142857142857	0.0	0.0	0.03333333333333333	0.0	0.0	0.05357142857142857	0.058823529411764705	0.05263157894736842	0.0	0.0		0.023809523809523808	0.02631578947368421	0.0
APC	0.0	0.0	0.02564102564102564	0.07017543859649122	0.02564102564102564	0.05263157894736842	0.02631578947368421	0.0	0.05128205128205128	0.0	0.021739130434782608	0.04	0.0	0.0	0.03333333333333333	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.05405405405405406	0.022222222222222223	0.0136986301369863	0.0	0.0	0.061224489795918366	0.012048192771084338	0.023809523809523808		0.08	0.0
SF3B1	0.03125	0.03225806451612903	0.0	0.04424778761061947	0.0	0.0	0.029411764705882353	0.0	0.027777777777777776	0.0	0.0	0.043478260869565216	0.03333333333333333	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	0.05	0.014492753623188406	0.0	0.03333333333333333	0.02127659574468085	0.08108108108108109	0.02631578947368421	0.08		0.0
FOXP1	0.045454545454545456	0.0	0.0	0.018867924528301886	0.0	0.0	0.041666666666666664	0.0	0.08	0.0	0.0	0.05555555555555555	0.0	0.0	0.043478260869565216	0.017543859649122806	0.0	0.05	0.0	0.043478260869565216	0.03571428571428571	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.02702702702702703	0.014492753623188406	0.0	0.0	0.0	
