	ERCC2	CHEK2	SMC1A	DNMT3A	LZTR1	TP53	RET	ABL2	AFF3	DNM2	MYO5A	NOTCH1	SRSF2	PPFIBP1	ASXL1	ATM	BAX	MYD88	PTPRD	ATE1	ARID2	KDM5C	TP63	CUX1	KMT2C	PPM1D	PABPC1	JAK2	TET2	STAT3	APC	SF3B1	FOXP1
ERCC2		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.04	0.06896551724137931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.041666666666666664	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.047619047619047616	0.0	0.03125	0.045454545454545456
CHEK2	0.0		0.058823529411764705	0.010101010101010102	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0196078431372549	0.07407407407407407	0.0	0.0	0.0	0.0	0.0	0.03225806451612903	0.0
SMC1A	0.0	0.058823529411764705		0.0297029702970297	0.0	0.047619047619047616	0.0	0.0	0.0	0.0	0.03571428571428571	0.030303030303030304	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.0	0.0	0.0	0.0	0.037037037037037035	0.037037037037037035	0.0	0.0	0.0	0.015384615384615385	0.041666666666666664	0.02564102564102564	0.0	0.0
DNMT3A	0.0	0.010101010101010102	0.0297029702970297		0.009708737864077669	0.050505050505050504	0.00980392156862745	0.030303030303030304	0.009615384615384616	0.0	0.04716981132075472	0.008695652173913044	0.0	0.00980392156862745	0.03278688524590164	0.07086614173228346	0.01020408163265306	0.0	0.017699115044247787	0.0	0.028846153846153848	0.009174311926605505	0.03	0.028037383177570093	0.045454545454545456	0.06481481481481481	0.01020408163265306	0.06422018348623854	0.13846153846153847	0.01904761904761905	0.07017543859649122	0.04424778761061947	0.018867924528301886
LZTR1	0.0	0.0	0.0	0.009708737864077669		0.0	0.0	0.0	0.0	0.05	0.03571428571428571	0.0	0.0	0.0	0.047619047619047616	0.038461538461538464	0.0	0.0	0.06451612903225806	0.0	0.0	0.0	0.05	0.037037037037037035	0.01818181818181818	0.03125	0.0	0.0	0.015384615384615385	0.041666666666666664	0.02564102564102564	0.0	0.0
TP53	0.0	0.0	0.047619047619047616	0.050505050505050504	0.0		0.0	0.0	0.045454545454545456	0.0	0.07407407407407407	0.0	0.0	0.0	0.0	0.018867924528301886	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.0	0.0	0.01818181818181818	0.03125	0.0	0.0	0.03125	0.041666666666666664	0.05263157894736842	0.0	0.0
RET	0.0	0.0	0.0	0.00980392156862745	0.0	0.0		0.0	0.0	0.0	0.037037037037037035	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.03225806451612903	0.05555555555555555	0.043478260869565216	0.0	0.0	0.0	0.03773584905660377	0.0	0.0	0.0	0.015625	0.0	0.02631578947368421	0.029411764705882353	0.041666666666666664
ABL2	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.0		0.0	0.11764705882352941	0.0	0.0	0.0	0.05555555555555555	0.024390243902439025	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.03333333333333333	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0
AFF3	0.05263157894736842	0.05555555555555555	0.0	0.009615384615384616	0.0	0.045454545454545456	0.0	0.0		0.0	0.0	0.029411764705882353	0.0	0.0	0.022727272727272728	0.03773584905660377	0.0	0.0	0.030303030303030304	0.05	0.0	0.0	0.0	0.03571428571428571	0.017857142857142856	0.030303030303030304	0.0	0.0	0.0	0.04	0.05128205128205128	0.027777777777777776	0.08
DNM2	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.11764705882352941	0.0		0.037037037037037035	0.0	0.0	0.1111111111111111	0.0	0.019230769230769232	0.06666666666666667	0.0	0.03225806451612903	0.0	0.043478260869565216	0.0	0.0	0.0	0.057692307692307696	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0
